iter	Passed	Remaining
161	1798	9302
162	1807	9281
163	1817	9267
164	1827	9247
165	1838	9237
166	1848	9220
167	1860	9215
168	1870	9197
169	1880	9183
170	1890	9167
171	1900	9146
172	1909	9129
173	1919	9112
174	1930	9101
175	1940	9083
176	1950	9068
177	1959	9047
178	1968	9030
179	1977	9010
180	1988	8999
181	1998	8983
182	2007	8961
183	2016	8942
184	2025	8923
185	2034	8902
186	2044	8887
187	2053	8871
188	2064	8857
189	2073	8838
190	2083	8824
191	2093	8811
192	2102	8792
193	2113	8782
194	2124	8770
195	2134	8755
196	2143	8736
197	2152	8717
198	2161	8701
199	2170	8682
200	2180	8666
201	2189	8650
202	2199	8633
203	2208	8617
204	2217	8600
205	2226	8583
206	2236	8568
207	2245	8551
208	2256	8541
209	2265	8524
210	2273	8502
211	2283	8487
212	2291	8467
213	2300	8449
214	2310	8436
215	2321	8426
216	2332	8416
217	2342	8401
218	2352	8389
219	2362	8377
220	2372	8361
221	2382	8347
222	2392	8335
223	2401	8318
224	2410	8301
225	2419	8285
226	2428	8269
227	2437	8253
228	2447	8240
229	2456	8222
230	2465	8207
231	2474	8193
232	2483	8175
233	2492	8159
234	2501	8144
235	2511	8130
236	2520	8115
237	2531	8103
238	2540	8089
239	2550	8077
240	2561	8066
241	2572	8056
242	2582	8045
243	2591	8028
244	2600	8013
245	2608	7994
246	2617	7979
247	2627	7966
248	2636	7951
249	2645	7937
250	2654	7920
251	2662	7903
252	2673	7892
253	2681	7875
254	2690	7859
255	2698	7843
256	2709	7832
257	2718	7818
258	2727	7804
259	2736	7788
260	2744	7771
261	2754	7758
262	2762	7742
263	2772	7730
264	2784	7722
265	2796	7717
266	2806	7705
267	2816	7693
268	2825	7678
269	2836	7667
270	2846	7657
271	2856	7644
272	2865	7631
273	2874	7617
274	2883	7601
275	2893	7589
276	2902	7575
277	2912	7564
278	2921	7549
279	2930	7534
280	2940	7522
281	2949	7508
282	2959	7498
283	2968	7484
284	2978	7471
285	2987	7458
286	2996	7445
287	3005	7430
288	3015	7419
289	3025	7407
290	3037	7400
291	3046	7387
292	3056	7374
293	3076	7387
294	3084	7371
295	3094	7360
296	3105	7349
297	3114	7336
298	3125	7327
299	3133	7312
300	3144	7301
301	3153	7287
302	3162	7274
303	3172	7262
304	3180	7247
305	3190	7235
306	3199	7221
307	3208	7207
308	3216	7193
309	3226	7180
310	3236	7169
311	3247	7160
312	3257	7149
313	3269	7142
314	3278	7128
315	3287	7114
316	3296	7102
317	3306	7091
318	3316	7079
319	3324	7065
320	3333	7050
321	3344	7041
322	3353	7029
323	3364	7019
324	3374	7009
325	3384	6996
326	3392	6982
327	3401	6969
328	3411	6957
329	3420	6944
330	3430	6933
331	3440	6921
332	3450	6910
333	3459	6899
334	3468	6885
335	3478	6874
336	3488	6863
337	3498	6852
338	3509	6843
339	3518	6830
340	3528	6818
341	3537	6806
342	3547	6795
343	3556	6782
344	3566	6770
345	3576	6759
346	3584	6746
347	3593	6733
348	3602	6720
349	3611	6707
350	3621	6695
351	3631	6685
352	3640	6672
353	3649	6659
354	3660	6651
355	3669	6637
356	3678	6624
357	3687	6612
358	3698	6602
359	3707	6591
360	3717	6579
361	3728	6570
362	3736	6557
363	3746	6545
364	3755	6533
365	3765	6522
366	3774	6510
367	3783	6497
368	3792	6484
369	3802	6474
370	3811	6462
371	3821	6450
372	3829	6437
373	3838	6425
374	3847	6412
375	3857	6401
376	3865	6387
377	3875	6377
378	3885	6366
379	3895	6356
380	3905	6345
381	3915	6334
382	3924	6322
383	3934	6312
384	3944	6301
385	3954	6290
386	3963	6278
387	3972	6265
388	3980	6252
389	3989	6239
390	3998	6227
391	4007	6215
392	4015	6202
393	4024	6190
394	4034	6179
395	4044	6168
396	4053	6156
397	4062	6144
398	4074	6136
399	4083	6125
400	4092	6113
401	4102	6102
402	4111	6091
403	4121	6080
404	4130	6068
405	4139	6056
406	4149	6045
407	4159	6034
